Company Name,Website,Contact Page,Phone Numbers,Email
Allcargo Logistics,https://www.allcargologistics.com/,https://www.allcargologistics.com/contact-us,+91 22 6679 8100,care@allcargologistics.com
Capricorn Logistics,https://capricornlogistics.com/,https://capricornlogistics.com/contact,+91 22 6984 6000,sales_enquiry@capricornlogistics.com
DHL India,https://www.dhl.com/in-en/home.html,https://www.dhl.com/in-en/home/contact-us.html,1800 111 345,cs.india@dhl.com
Maersk India,https://www.maersk.com/,https://www.maersk.com/contact,+91 22 6130 1300,india@maersk.com
FedEx India,https://www.fedex.com/en-in/home.html,https://www.fedex.com/en-in/customer-support.html,1800 419 4343,customer.service@fedex.com
UPS India,https://www.ups.com/in/en/Home.page,https://www.ups.com/in/en/support/contact-us.page,1800 208 2778,custcare.in@ups.com
Blue Dart,https://www.bluedart.com/,https://www.bluedart.com/contact-us,1860 233 1234,customerservice@bluedart.com
Gati Limited,https://www.gati.com/,https://www.gati.com/contact-us/,1860 123 4284,customerservice@gati.com
Safexpress,https://www.safexpress.com/,https://www.safexpress.com/contact,1800 114 321,customercare@safexpress.com
TCI Express,https://www.tciexpress.in/,https://www.tciexpress.in/contact-us,1800 2000 977,customer.care@tciexpress.com
DTDC,https://www.dtdc.in/,https://www.dtdc.in/contact-us,1800 123 3999,customersupport@dtdc.com
XpressBees,https://www.xpressbees.com/,https://www.xpressbees.com/contact,020 6715 1000,support@xpressbees.com
Delhivery,https://www.delhivery.com/,https://www.delhivery.com/contact/,1800 103 5122,support@delhivery.com
Ecom Express,https://www.ecomexpress.in/,https://www.ecomexpress.in/contact-us,1800 102 6105,support@ecomexpress.com
Shadowfax,https://www.shadowfax.in/,https://www.shadowfax.in/contact,080 6817 0000,support@shadowfax.in
